Module,Slang Files,Lines,Types,Fields,Methods,Statements,Expressions,Patterns,Scala Files,Lines,Java Files,Lines,Total Files,Lines
RTS_i_Instance,216,31206,599,2130,3148,23203,73699,3238,117,6042,0,-,333,37248
Total: 1 module,216,31206,599,2130,3148,23203,73699,3238,117,6042,0,-,333,37248
